GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
C04-ISO2-ET01,C04.C04_ISO2_ET02,NumeroFueraDeRangoException,0,6,0,0,0,3,0,1,0,1
C04-ISO2-ET01,C04.C04_ISO2_ET02,Bisiesto,18,79,10,16,6,15,8,13,0,8
